Expert	Param	Dist	Lo	Up	A	B
20	GDP	Beta	1.5	2.7	2.17	2.09
21	GDP	Lognorm	0	5	0.667	0.584
22	GDP	Norm	1	2	1.5	0.264
23	GDP	Gamma	0.1	2.5	3.86	0.27173913
24	GDP	Norm	1	3	2.17	0.371
25	GDP	Gamma	0.5	3	5.27	0.292397661
1	GHG	Beta	15	100	1.21	2.46
2	GHG	Lognorm	25	80	3.7	0.292
3	GHG	Gamma	0	120	0.775	57.47126437
4	GHG	Gamma	13.5	100	4.6	10.8577633
5	GHG	Lognorm	0	300	4.23	0.929
6	GHG	Gamma	2	200	1.35	50.50505051
7	GHG	Lognorm	20	60	3.46	0.289
8	GHG	Lognorm	0	275	4.28	0.451
9	GHG	Beta	0	100	0.555	1.21
10	GHG	Beta	10	200	3.32	9.41
11	GHG	Lognorm	20	100	3.72	0.455
12	GHG	Beta	0	80	0.63	1.53
13	GHG	Gamma	0	100	2.65	17.48251748
14	GHG	Lognorm	0	1000	3.92	1.78
15	GHG	Beta	0	200	1.6	12.4
17	GHG	Beta	5	250	0.525	1.32
18	GHG	Norm	15	80	47.5	23.9
19	GHG	Lognorm	10	300	3.97	0.846
20	GHG	Gamma	0	70	3.1	10.89324619
21	GHG	Gamma	0	1000	0.872	248.7562189
22	GHG	Beta	15	30	1.1	0.759
23	GHG	Lognorm	0	200	4.35	0.585
24	GHG	Norm	50	80	64.4	8.36
25	GHG	Lognorm	0	100	3.11	0.764
1	Oil	Lognorm	100	200	5	0.185
2	Oil	Gamma	50	175	15.3	7.575757576
3	Oil	Gamma	40	250	3.48	39.5256917
4	Oil	Lognorm	30	100	4.29	0.223
5	Oil	Lognorm	25	300	4.77	0.695
6	Oil	Gamma	40	300	4.79	32.78688525
7	Oil	Lognorm	100	180	4.89	0.173
8	Oil	Beta	60	200	2.65	1.35
9	Oil	Beta	15	250	1.43	1.79
10	Oil	Beta	25	200	1.44	1.57
11	Oil	Beta	80	130	1.16	1.62
12	Oil	Beta	100	700	1.31	1.43
13	Oil	Beta	10	250	1.53	1.48
14	Oil	Gamma	60	130	18.1	5.102040816
15	Oil	Gamma	10	500	2.17	67.56756757
16	Oil	Gamma	40	250	4	34.12969283
17	Oil	Beta	20	400	3.76	10.1
18	Oil	norm	80	200	140	22.2
19	Oil	lognorm	20	500	5.03	0.651
20	Oil	Beta	70	180	0.893	0.796
21	Oil	Beta	25	400	1.78	2.39
22	Oil	Lognorm	80	140	4.63	0.176
23	Oil	Beta	15	180	2	1.4
24	Oil	Gamma	75	100	258	0.326797386
25	Oil	Gamma	30	200	6.18	19.53125
1	Elec	Lognorm	7.5	15	2.33	0.212
2	Elec	Gamma	8	16	29.1	0.420168067
3	Elec	norm	6	12	9.68	1.83
4	Elec	Lognorm	8	15	2.4	0.157
5	Elec	Lognorm	7	13	2.25	0.187
6	Elec	Lognorm	2.5	20	2.11	0.482
7	Elec	Lognorm	9	15	2.41	0.144
8	Elec	Beta	5	12	0.955	1.67
9	Elec	Lognorm	5.5	17.5	2.25	0.328
10	Elec	Gamma	6	20	13.2	0.980392157
11	Elec	Beta	6.7	20	1.33	0.876
12	Elec	Norm	6	25	15.4	4.44
13	Elec	Gamma	3	15	7.53	1.342281879
14	Elec	Beta	8	15	1.24	1.82
15	Elec	Beta	4	50	1.2	4.5
16	Elec	Beta	3	16.5	1.37	4.89
17	Elec	Gamma	4	40	2.89	6.172839506
18	Elec	Gamma	8	16	33.5	0.338983051
19	Elec	Gamma	5	15	13.8	0.675675676
21	Elec	Gamma	5	30	4.89	3.215434084
22	Elec	Beta	9	15	1	1
23	Elec	Gamma	5	20	6.82	1.623376623
24	Elec	Normal	8.6	10.4	9.55	0.538
25	Elec	Beta	5	20	1.72	0.869
1	Temp	Norm	19	21.5	20.3	0.775
2	Temp	Lognorm	20.5	21.5	3.04	0.0119
3	Temp	Norm	18.5	21.5	20	0.83
4	Temp	Beta	17	20	1.58	1.55
5	Temp	Norm	20.4	22	21.2	0.43
6	Temp	Norm	18	22	20	0.99
7	Temp	Gamma	18	23	256	0.081967213
8	Temp	Beta	12	17	1.72	1.2
9	Temp	Beta	17	22.5	2.09	1.53
10	Temp	Norm	17	21	19	0.797
11	Temp	Beta	13.5	23	2.45	2.06
12	Temp	Beta	16	24	1.82	1.81
13	Temp	Beta	15	25	2.13	1.57
14	Temp	Beta	19.5	21	1.19	1.91
15	Temp	Norm	17.1	23	20	1.46
16	Temp	Norm	19	23	21	1.24
17	Temp	Norm	15	24	19.7	2.63
18	Temp	Norm	16	21	18.5	0.943
19	Temp	Norm	18	20	19.1	0.618
20	Temp	Gamma	17	22	188	0.10460251
21	Temp	Norm	15	25	20	2.67
22	Temp	Gamma	19.5	22.5	948	0.021645022
23	Temp	Lognorm	13	25	2.91	0.179
24	Temp	Beta	18	22	3.09	2.04
25	Temp	Beta	17	21	2.28	1.42
1	calib	Norm	25	150	95.8	38.5
2	calib	Beta	100	400	2.04	1.99
3	calib	Norm	20	500	246	125
4	calib	Gamma	0	2000	1.94	444.4444444
5	calib	Lognorm	50	2000	5.99	0.95
6	calib	Gamma	100	4000	1.7	917.4311927
7	calib	Lognorm	100	300	5.23	0.22
8	calib	Gamma	0	500	4.81	45.87155963
9	calib	Lognorm	30	600	5.73	0.482
10	calib	Beta	100	1000	0.78	0.827
11	calib	Beta	650	1500	0.686	0.802
12	calib	Beta	50	400	0.662	0.764
13	calib	Beta	20	500	2.33	1.87
14	calib	Beta	80	400	0.804	1.43
15	calib	Lognorm	5	3000	5.57	0.896
16	calib	Lognorm	200	10000	6.91	0.799
17	calib	Beta	60	360	2.85	2.19
18	calib	Beta	10	10000	1	1
19	calib	Gamma	250	5000	3.19	704.2253521
20	calib	Beta	0	600	1	1
21	calib	Gamma	15	500	1.71	116.2790698
22	calib	Beta	100	3000	1.07	0.907
23	calib	Lognorm	100	400	5.28	0.357
24	calib	Beta	100	300	0.985	0.551
25	calib	Gamma	5	70	2.79	11.69590643
